date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2019-06-03,sh.000001,2901.7420,2920.8290,2875.9010,2890.0800,2898.6960,21594355456,208073322496.0000,3,0.635038,1,-0.297200,0.000000,0.000000,0.000000,0.000000,0
2019-06-04,sh.000001,2887.6400,2888.3860,2851.9720,2862.2800,2890.0800,18846354176,181118914560.0000,3,0.554296,1,-0.961900,0.000000,0.000000,0.000000,0.000000,0
2019-06-05,sh.000001,2882.9360,2888.7670,2858.5710,2861.4180,2862.2800,18156104704,175200845824.0000,3,0.533987,1,-0.030100,0.000000,0.000000,0.000000,0.000000,0
2019-06-06,sh.000001,2862.3320,2862.3320,2822.1850,2827.7970,2861.4180,17706441216,164850548736.0000,3,0.520495,1,-1.175000,0.000000,0.000000,0.000000,0.000000,0
2019-06-10,sh.000001,2833.0140,2861.1310,2824.3550,2852.1300,2827.7970,16658591744,162489831424.0000,3,0.489163,1,0.860500,0.000000,0.000000,0.000000,0.000000,0
2019-06-11,sh.000001,2854.0700,2927.4300,2854.0700,2925.7160,2852.1300,26052579584,254479986688.0000,3,0.764997,1,2.580000,0.000000,0.000000,0.000000,0.000000,0
2019-06-12,sh.000001,2917.2230,2924.7010,2903.8830,2909.3790,2925.7160,24025577472,223063953408.0000,3,0.705394,1,-0.558400,0.000000,0.000000,0.000000,0.000000,0
2019-06-13,sh.000001,2905.2870,2918.4220,2885.9230,2910.7400,2909.3790,21295779072,191748206592.0000,3,0.625072,1,0.046800,0.000000,0.000000,0.000000,0.000000,0
2019-06-14,sh.000001,2912.9980,2924.3190,2879.6570,2881.9740,2910.7400,21543579648,194303111168.0000,3,0.631681,1,-0.988300,0.000000,0.000000,0.000000,0.000000,0
2019-06-17,sh.000001,2880.4220,2902.4800,2877.3940,2887.6220,2881.9740,15396496128,143141638144.0000,3,0.451135,1,0.196000,0.000000,0.000000,0.000000,0.000000,0
2019-06-18,sh.000001,2891.0910,2898.3300,2874.3120,2890.1580,2887.6220,14770532096,136935231488.0000,3,0.432766,1,0.087800,0.000000,0.000000,0.000000,0.000000,0
2019-06-19,sh.000001,2944.1150,2953.3350,2916.2140,2917.8020,2890.1580,23075697408,225567256576.0000,3,0.675970,1,0.956500,0.000000,0.000000,0.000000,0.000000,0
